dataset_data_id,dataset_data_title,dataset_data_id_refer,dataset_data_subtitle1,dataset_data_subtitle2,dataset_data_subtitle3,dataset_data_subtitle4,main
398,"ต. อ่างทอง อ. เกาะสมุย จ. สุราษฎร์ธานี 84140",152,"\N","\N","\N","\N","\N"
399,"ต. เกาะสาหร่าย อ. เมืองสตูล จ. สตูล 91000",152,"\N","\N","\N","\N","\N"
400,"ต. เกาะหมาก อ. เกาะกูด จ. ตราด 23000",152,"\N","\N","\N","\N","\N"
401,"ต. เกาะลิบง อ. กันตัง จ. ตรัง 92110",152,"\N","\N","\N","\N","\N"
402,"ต. เกาะแก้ว อ. เมืองภูเก็ต จ. ภูเก็ต 83000",152,"\N","\N","\N","\N","\N"
403,"ต. ด่านสวี อ. สวี จ. ชุมพร 86130",152,"\N","\N","\N","\N","\N"
404,"ต. เกาะสาหร่าย อ. เมืองสตูล จ. สตูล 91000",152,"\N","\N","\N","\N","\N"
405,"ต. อ่างทอง อ. เกาะสมุย จ. สุราษฎร์ธานี 84140",152,"\N","\N","\N","\N","\N"
406,"ต. อ่างทอง อ. เกาะสมุย จ. สุราษฎร์ธานี 84140",152,"\N","\N","\N","\N","\N"
407,"ต. เกาะพระทอง อ. คุระบุรี จ. พังงา 82150",152,"\N","\N","\N","\N","\N"
408,"ต. หาดทรายรี อ. เมืองชุมพร จ. ชุมพร 86120",152,"\N","\N","\N","\N","\N"
409,"ต. กำพวน อ. สุขสำราญ จ. ระนอง 85120",152,"\N","\N","\N","\N","\N"
410,"ต. เกาะหมาก อ. เกาะกูด จ. ตราด 23000",152,"\N","\N","\N","\N","\N"
411,"ต. เกาะสาหร่าย อ. เมืองสตูล จ. สตูล 91000",152,"\N","\N","\N","\N","\N"
412,"ต. หาดทรายรี อ. เมืองชุมพร จ. ชุมพร 86120",152,"\N","\N","\N","\N","\N"
413,"ต. ไม้ฝาด อ. สิเกา จ. ตรัง 92150",152,"\N","\N","\N","\N","\N"
414,"ต. ศรีราชา อ. ศรีราชา จ. ชลบุรี 20110",152,"\N","\N","\N","\N","\N"
415,"ต. อ่างทอง อ. เกาะสมุย จ. สุราษฎร์ธานี 84140",152,"\N","\N","\N","\N","\N"
416,"ต. หาดทรายรี อ. เมืองชุมพร จ. ชุมพร 86120",152,"\N","\N","\N","\N","\N"
417,"ต. เขาทอง อ. เมืองกระบี่ จ. กระบี่ 81000",152,"\N","\N","\N","\N","\N"
418,"ต. เกาะสาหร่าย อ. เมืองสตูล จ. สตูล 91000",152,"\N","\N","\N","\N","\N"
419,"ต. เกาะสาหร่าย อ. เมืองสตูล จ. สตูล 91000",152,"\N","\N","\N","\N","\N"
420,"ต. อ่างทอง อ. เกาะสมุย จ. สุราษฎร์ธานี 84140",152,"\N","\N","\N","\N","\N"
421,"ต. ด่านสวี อ. สวี จ. ชุมพร 86130",152,"\N","\N","\N","\N","\N"
422,"ต. ดอนสัก อ. ดอนสัก จ. สุราษฎร์ธานี 84220",152,"\N","\N","\N","\N","\N"
423,"ต. เกาะสาหร่าย อ. เมืองสตูล จ. สตูล 91000",152,"\N","\N","\N","\N","\N"
424,"ต. ปากน้ำ อ. เมืองชุมพร จ. ชุมพร 86120",152,"\N","\N","\N","\N","\N"
425,"ต. ตะเสะ อ. หาดสำราญ จ. ตรัง 92120",152,"\N","\N","\N","\N","\N"
426,"ต. เกาะหมาก อ. เกาะกูด จ. ตราด 23000",152,"\N","\N","\N","\N","\N"
427,"ต. ปากตะโก อ. ทุ่งตะโก จ. ชุมพร 86220",152,"\N","\N","\N","\N","\N"
428,"ต. อ่างทอง อ. เกาะสมุย จ. สุราษฎร์ธานี 84140",152,"\N","\N","\N","\N","\N"
429,"ต. ด่านสวี อ. สวี จ. ชุมพร 86130",152,"\N","\N","\N","\N","\N"
430,"ต. เกาะสาหร่าย อ. เมืองสตูล จ. สตูล 91000",152,"\N","\N","\N","\N","\N"
431,"ต. เกาะสาหร่าย อ. เมืองสตูล จ. สตูล 91000",152,"\N","\N","\N","\N","\N"
432,"ต. อ่างทอง อ. เกาะสมุย จ. สุราษฎร์ธานี 84140",152,"\N","\N","\N","\N","\N"
433,"ต. กะรน อ. เมืองภูเก็ต จ. ภูเก็ต 83100",152,"\N","\N","\N","\N","\N"
434,"ต. อ่างทอง อ. เกาะสมุย จ. สุราษฎร์ธานี 84140",152,"\N","\N","\N","\N","\N"
435,"ต. ตะเสะ อ. หาดสำราญ จ. ตรัง 92120",152,"\N","\N","\N","\N","\N"
436,"ต. มาบตาพุด อ. เมืองระยอง จ. ระยอง 21150",152,"\N","\N","\N","\N","\N"
437,"ต. ปากคลอง อ. ปะทิว จ. ชุมพร 86210",152,"\N","\N","\N","\N","\N"
438,"ต. เกาะสาหร่าย อ. เมืองสตูล จ. สตูล 91000",152,"\N","\N","\N","\N","\N"
439,"ต. เกาะลูกไม้ อ. กันตัง จ. ตรัง",152,"\N","\N","\N","\N","\N"
440,"ต. บ่อหิน อ. สิเกา จ. ตรัง 92150",152,"\N","\N","\N","\N","\N"
441,"ต. อ่างทอง อ. เกาะสมุย จ. สุราษฎร์ธานี 84140",152,"\N","\N","\N","\N","\N"
442,"ต. อ่างทอง อ. เกาะสมุย จ. สุราษฎร์ธานี 84140",152,"\N","\N","\N","\N","\N"
443,"ต. อ่างทอง อ. เกาะสมุย จ. สุราษฎร์ธานี 84140",152,"\N","\N","\N","\N","\N"
444,"ต. หาดทรายรี อ. เมืองชุมพร จ. ชุมพร 86120",152,"\N","\N","\N","\N","\N"
445,"ต. อ่างทอง อ. เกาะสมุย จ. สุราษฎร์ธานี 84140",152,"\N","\N","\N","\N","\N"
446,"ต. เกาะสาหร่าย อ. เมืองสตูล จ. สตูล 91000",152,"\N","\N","\N","\N","\N"
447,"ต. เกาะสาหร่าย อ. เมืองสตูล จ. สตูล 91000",152,"\N","\N","\N","\N","\N"
448,"ต. สัตหีบ อ. สัตหีบ จ. ชลบุรี 20180",152,"\N","\N","\N","\N","\N"
449,"ต. อ่าวลึกน้อย อ. อ่าวลึก จ. กระบี่ 81110",152,"\N","\N","\N","\N","\N"
450,"ต. กำพวน อ. สุขสำราญ จ. ระนอง 85120",152,"\N","\N","\N","\N","\N"
451,"ต. ดอนสัก อ. ดอนสัก จ. สุราษฎร์ธานี 84220",152,"\N","\N","\N","\N","\N"
452,"ต. ด่านสวี อ. สวี จ. ชุมพร 86130",152,"\N","\N","\N","\N","\N"
453,"ต. อ่างทอง อ. เกาะสมุย จ. สุราษฎร์ธานี 84140",152,"\N","\N","\N","\N","\N"
454,"ต. เกาะสาหร่าย อ. เมืองสตูล จ. สตูล 91000",152,"\N","\N","\N","\N","\N"
455,"ต. ด่านสวี อ. สวี จ. ชุมพร 86130",152,"\N","\N","\N","\N","\N"
456,"ต. อ่างทอง อ. เกาะสมุย จ. สุราษฎร์ธานี 84140",152,"\N","\N","\N","\N","\N"
457,"ต. อ่าวลึกน้อย อ. อ่าวลึก จ. กระบี่ 81110",152,"\N","\N","\N","\N","\N"
458,"ต. ปากตะโก อ. ทุ่งตะโก จ. ชุมพร 86220",152,"\N","\N","\N","\N","\N"
459,"ต. อ่าวลึกน้อย อ. อ่าวลึก จ. กระบี่ 81110",152,"\N","\N","\N","\N","\N"
460,"ต. เกาะพยาม อ. เมืองระนอง จ. ระนอง 85000",152,"\N","\N","\N","\N","\N"
461,"ต. อ่าวลึกน้อย อ. อ่าวลึก จ. กระบี่ 81110",152,"\N","\N","\N","\N","\N"
462,"ต. อ่างทอง อ. เกาะสมุย จ. สุราษฎร์ธานี 84140",152,"\N","\N","\N","\N","\N"
463,"ต. ปากน้ำ อ. เมืองระนอง จ. ระนอง 85000",152,"\N","\N","\N","\N","\N"
464,"ต. เทพกระษัตรี อ. ถลาง จ. ภูเก็ต 83110",152,"\N","\N","\N","\N","\N"
465,"ต. เกาะพยาม อ. เมืองระนอง จ. ระนอง 85000",152,"\N","\N","\N","\N","\N"
466,"ต. อ่างทอง อ. เกาะสมุย จ. สุราษฎร์ธานี 84140",152,"\N","\N","\N","\N","\N"
467,"ต. ปากน้ำ อ. เมืองระนอง จ. ระนอง 85000",152,"\N","\N","\N","\N","\N"
468,"ต. เขาทอง อ. เมืองกระบี่ จ. กระบี่ 81000",152,"\N","\N","\N","\N","\N"
469,"ต. แสมสาร อ. สัตหีบ จ. ชลบุรี 20180",152,"\N","\N","\N","\N","\N"
470,"ต. แหลมสัก อ. อ่าวลึก จ. กระบี่ 81110",152,"\N","\N","\N","\N","\N"
471,"ต. อ่างทอง อ. เกาะสมุย จ. สุราษฎร์ธานี 84140",152,"\N","\N","\N","\N","\N"
472,"ต. เขาคราม อ. เมืองกระบี่ จ. กระบี่ 81000",152,"\N","\N","\N","\N","\N"
473,"ต. เกาะแก้ว อ. เมืองภูเก็ต จ. ภูเก็ต 83000",152,"\N","\N","\N","\N","\N"
474,"ต. เกาะเปริด อ. แหลมสิงห์ จ. จันทบุรี 22130",152,"\N","\N","\N","\N","\N"
475,"ต. เกาะสาหร่าย อ. เมืองสตูล จ. สตูล 91000",152,"\N","\N","\N","\N","\N"
476,"ต. ปากคลอง อ. ปะทิว จ. ชุมพร 86210",152,"\N","\N","\N","\N","\N"
477,"ต. ปากตะโก อ. ทุ่งตะโก จ. ชุมพร 86220",152,"\N","\N","\N","\N","\N"
478,"ต. เกาะสาหร่าย อ. เมืองสตูล จ. สตูล 91000",152,"\N","\N","\N","\N","\N"
479,"ต. นาเกลือ อ. บางละมุง จ. ชลบุรี 20150",152,"\N","\N","\N","\N","\N"
480,"ต. เกาะหมาก อ. เกาะกูด จ. ตราด 23000",152,"\N","\N","\N","\N","\N"
481,"ต. อ่างทอง อ. เกาะสมุย จ. สุราษฎร์ธานี 84140",152,"\N","\N","\N","\N","\N"
482,"ต. อ่างทอง อ. เกาะสมุย จ. สุราษฎร์ธานี 84140",152,"\N","\N","\N","\N","\N"
483,"ต. อ่างทอง อ. เกาะสมุย จ. สุราษฎร์ธานี 84140",152,"\N","\N","\N","\N","\N"
484,"ต. กร่ำ อ. แกลง จ. ระยอง 21190",152,"\N","\N","\N","\N","\N"
485,"ต. ด่านสวี อ. สวี จ. ชุมพร 86130",152,"\N","\N","\N","\N","\N"
486,"ต. อ่างทอง อ. เกาะสมุย จ. สุราษฎร์ธานี 84140",152,"\N","\N","\N","\N","\N"
487,"ต. อ่าวลึกน้อย อ. อ่าวลึก จ. กระบี่ 81110",152,"\N","\N","\N","\N","\N"
488,"ต. เขาทอง อ. เมืองกระบี่ จ. กระบี่ 81000",152,"\N","\N","\N","\N","\N"
489,"ต. ตะเสะ อ. หาดสำราญ จ. ตรัง 92120",152,"\N","\N","\N","\N","\N"
490,"ต. เกาะสาหร่าย อ. เมืองสตูล จ. สตูล 91000",152,"\N","\N","\N","\N","\N"
491,"ต. เขาทอง อ. เมืองกระบี่ จ. กระบี่ 81000",152,"\N","\N","\N","\N","\N"
492,"ต. ปากตะโก อ. ทุ่งตะโก จ. ชุมพร 86220",152,"\N","\N","\N","\N","\N"
493,"ต. บางหิน อ. กะเปอร์ จ. ระนอง 85120",152,"\N","\N","\N","\N","\N"
494,"ต. เกาะสาหร่าย อ. เมืองสตูล จ. สตูล 91000",152,"\N","\N","\N","\N","\N"
495,"ต. หาดทรายรี อ. เมืองชุมพร จ. ชุมพร 86120",152,"\N","\N","\N","\N","\N"
496,"ต. แสมสาร อ. สัตหีบ จ. ชลบุรี 20180",152,"\N","\N","\N","\N","\N"
497,"ต. หาดทรายรี อ. เมืองชุมพร จ. ชุมพร 86120",152,"\N","\N","\N","\N","\N"
498,"ต. ด่านสวี อ. สวี จ. ชุมพร 86130",152,"\N","\N","\N","\N","\N"
499,"ต. เกาะสาหร่าย อ. เมืองสตูล จ. สตูล 91000",152,"\N","\N","\N","\N","\N"
500,"ต. ราไวย์ อ. เมืองภูเก็ต จ. ภูเก็ต 83100",152,"\N","\N","\N","\N","\N"
501,"ต. ราไวย์ อ. เมืองภูเก็ต จ. ภูเก็ต 83130",152,"\N","\N","\N","\N","\N"
502,"ต. อ่างทอง อ. เกาะสมุย จ. สุราษฎร์ธานี 84140",152,"\N","\N","\N","\N","\N"
503,"ต. เกาะสาหร่าย อ. เมืองสตูล จ. สตูล 91000",152,"\N","\N","\N","\N","\N"
504,"ต. เกาะสาหร่าย อ. เมืองสตูล จ. สตูล 91000",152,"\N","\N","\N","\N","\N"
505,"ต. เขาทอง อ. เมืองกระบี่ จ. กระบี่ 81000",152,"\N","\N","\N","\N","\N"
506,"ต. กร่ำ อ. แกลง จ. ระยอง 21190",152,"\N","\N","\N","\N","\N"
