id,fo_id,qt_id,qt_description,qt_unit,qt_type,qt_price,qt_discount,discount_sum,sum,total,id_promotion,date_qt,flow,save,revision,id_refer,space,price_criteria
10397,0,2011000924,"ข้อกำหนดและการประยุกต์ใช้มาตรฐานสุขลักษณะที่ดีในการผลิตอาหาร (GHPs)/การวิเคราะห์อันตรายและการควบคุมจุดวิกฤติ (HACCP)",1,MD,13000.00,0.00,0.00,13000.00,13000.00,0,0000-00-00,1,0,0,8820,498,0
10398,0,2011000925,"ข้อกำหนดและการประยุกต์ใช้มาตรฐานสุขลักษณะที่ดีในการผลิตอาหาร (GHPs)/การวิเคราะห์อันตรายและการควบคุมจุดวิกฤติ (HACCP)",1,MD,14000.00,0.00,0.00,14000.00,14000.00,0,0000-00-00,1,0,0,8821,498,0
10399,0,2011000926,"ข้อกำหนดและการประยุกต์ใช้มาตรฐานสุขลักษณะที่ดีในการผลิตอาหาร (GHPs)/การวิเคราะห์อันตรายและการควบคุมจุดวิกฤติ (HACCP)",1,MD,13000.00,0.00,0.00,13000.00,13000.00,0,0000-00-00,1,0,0,8822,498,0
10400,0,2011000927,"มาตรฐานสุขลักษณะที่ดีในการผลิตอาหาร(GHPs)/การวิเคราะห์อันตรายและการควบคุมจุดวิกฤติ (HACCP)",1,รายการ,120000.00,0.00,0.00,120000.00,120000.00,0,0000-00-00,1,0,0,8823,497,0
10401,0,2011000928,"ข้อกำหนดและการประยุกต์ใช้มาตรฐานสุขลักษณะที่ดีในการผลิตอาหาร (GHPs)/การวิเคราะห์อันตรายและการควบคุมจุดวิกฤติ (HACCP)",1,MD,12000.00,0.00,0.00,12000.00,12000.00,0,0000-00-00,1,0,0,8824,0,0
10402,0,2011000929,"ข้อกำหนดและการประยุกต์ใช้มาตรฐานสุขลักษณะที่ดีในการผลิตอาหาร (GHPs)/การวิเคราะห์อันตรายและการควบคุมจุดวิกฤติ (HACCP)",1,MD,13000.00,0.00,0.00,13000.00,13000.00,0,0000-00-00,1,0,0,8825,498,0
10403,0,2011000918,"ยื่นต่ออายุใบอนุญาตจัดตั้งโรงงาน (รง.4)",1,รายการ,70000.00,0.00,0.00,70000.00,70000.00,0,0000-00-00,1,0,0,8826,0,0
10404,0,2011000918,"เงื่อนไข :  การเสนอราคาในครั้งนี้ เฉพาะกรณียื่นต่ออายุใบอนุญาตจัดตั้งโรงงาน (รง.4) เท่านั้น  หากมีรายการออื่นเพิ่มเติม ทางบริษัทฯ ขอสงวนสิทธิ์ในการเสนอราคาใหม่อีกครั้ง",0,,0.00,0.00,0.00,0.00,0.00,0,0000-00-00,1,0,0,8826,0,0
10412,0,2010000863,"ดูแลรักษาระบบคุณภาพ ( Quality System Maintenance )  การจัดทำเอกสาร ประเภทระเบียบปฎิบัติ ตามมาตรฐาน brc (ครบทุกฉบับ)",4,,20000.00,0.00,0.00,80000.00,80000.00,0,0000-00-00,1,0,2,8830,0,0
10413,0,2010000863,"ดูแลรักษาระบบคุณภาพ ( Quality System Maintenance )  BRC  1. กิจกรรม IQA  BRC ",2,,12000.00,0.00,0.00,24000.00,24000.00,0,0000-00-00,1,0,2,8830,0,0
10416,0,2011000930,"การบริการจัดทำเอกสารประกอบการฝึกอบรมหลักสูตร : ข้อกำหนดและการประยุกต์ใช้ มาตรฐานห้องปฎิบัติการ (ISO/IEC17025:2017 Requirement and Implementation) จำนวน 20 เล่ม",1,รายการ,4000.00,0.00,0.00,4000.00,4000.00,0,0000-00-00,1,0,0,8833,0,0
10421,0,2011000931,"ยื่นขอใบออนุญาตนำหรือสั่งอาหารเข้ามาในราชอาณาจักร (อ.7)  ผลิตภัณฑ์ คือ เค้กและผลไม้",1,รายการ,36000.00,0.00,0.00,36000.00,36000.00,0,0000-00-00,1,0,0,8835,0,0
10422,0,2011000931,"ยื่นขดจดทะเบียน/จดแจ้งรายละเอียดอาหาร(สบ.7) (อาหารสำเร็จรูปพร้อมบริโภคทันที) (ผลิตภัณฑ์ เค้ก)",1,รายการ,6000.00,0.00,0.00,6000.00,6000.00,0,0000-00-00,1,0,0,8835,0,0
10423,0,2011000931,"ยื่นขอเลขเสมือน (ผลิตภัณฑ์ ผลไม้)",1,รายการ,10000.00,0.00,0.00,10000.00,10000.00,0,0000-00-00,1,0,0,8835,0,0
10425,0,2011000932,"ข้อกำหนดและการประยุกต์ใช้มาตรฐานสุขลักษณะที่ดีในการผลิตอาหาร (GHPs)/การวิเคราะห์อันตรายและการควบคุมจุดวิกฤติ (HACCP)",1,MD,12000.00,0.00,0.00,12000.00,12000.00,0,0000-00-00,1,0,0,8836,498,0
10426,0,2011000933,"ข้อกำหนดและการประยุกต์ใช้มาตรฐานสุขลักษณะที่ดีในการผลิตอาหาร (GHPs)/การวิเคราะห์อันตรายและการควบคุมจุดวิกฤติ (HACCP)",1,รายการ,13000.00,0.00,0.00,13000.00,13000.00,0,0000-00-00,1,0,0,8837,498,0
10427,0,2011000934,"ข้อกำหนดและการประยุกต์ใช้มาตรฐานสุขลักษณะที่ดีในการผลิตอาหาร (GHPs)/การวิเคราะห์อันตรายและการควบคุมจุดวิกฤติ (HACCP)",1,MD,15000.00,0.00,0.00,15000.00,15000.00,0,0000-00-00,1,0,0,8838,498,0
10429,0,2011000935,"มาตรฐานสุขลักษณะที่ดีในการผลิตอาหาร(GHPs)/การวิเคราะห์อันตรายและการควบคุมจุดวิกฤติ (HACCP)",1,รายการ,130000.00,0.00,0.00,130000.00,130000.00,0,0000-00-00,1,0,0,8840,497,0
10430,0,2011000936,"ข้อกำหนดและการประยุกต์ใช้มาตรฐานสุขลักษณะที่ดีในการผลิตอาหาร (GHPs)/การวิเคราะห์อันตรายและการควบคุมจุดวิกฤติ (HACCP)",1,รายการ,13000.00,0.00,0.00,13000.00,13000.00,0,0000-00-00,1,0,0,8841,498,0
10431,0,2011000937,"ยื่นขอใบอนุญาตนำหรือสั่งอาหารเข้ามาในราชอาณาจักร (อ.7) : ผลิตภัณฑ์ (ผลไม้ แอบเปิ้ล ส้ม สาลี่ ลูกพลับ)",1,รายการ,50000.00,0.00,0.00,50000.00,50000.00,0,0000-00-00,1,0,0,8842,0,0
10432,0,2011000937,"ยื่นขอเลขเสมือน (ผลิตภัณฑ์ ผลไม้)",1,รายการ,10000.00,0.00,0.00,10000.00,10000.00,0,0000-00-00,1,0,0,8842,0,0
10433,0,2011000938,"ข้อกำหนดและการประยุกต์ใช้มาตรฐานสุขลักษณะที่ดีในการผลิตอาหาร (GHPs)/การวิเคราะห์อันตรายและการควบคุมจุดวิกฤติ (HACCP)",1,รายการ,11000.00,0.00,0.00,11000.00,11000.00,0,0000-00-00,1,0,0,8843,498,0
10435,0,2011000939,"ข้อกำหนดและการประยุกต์ใช้มาตรฐานสุขลักษณะที่ดีในการผลิตอาหาร (GHPs)/การวิเคราะห์อันตรายและการควบคุมจุดวิกฤติ (HACCP)",1,รายการ,14000.00,0.00,0.00,14000.00,14000.00,0,0000-00-00,1,0,0,8845,498,0
